question	extracted_review	Image	score	category
3g issue does this phone work with atampt 3g network .?	el celular que me llego no es de banda 850 y 2.es de logo t-mobile, 3.	http://ecx.images-amazon.com/images/I/519BAjbHIzL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Can i add this phone to my tmoble accunt ?	I'm using a Doro phone from Consumer Cellular.	http://ecx.images-amazon.com/images/I/51nSoJGneVL._SY300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
Can i get a powerfull battery ?	It is well competent and at a reasonable price.	http://ecx.images-amazon.com/images/I/41G-gjH4PCL._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Can i use it with snap chat ?	 Instead, you need to use a mediocre camera app with slow response for taking pictures. (	http://ecx.images-amazon.com/images/I/41W%2B4Y7GZrL._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Can it be used with straight tal?	Loved the phone I am using it on Walmart's straight talk and I have not had any problems with the phone.	http://ecx.images-amazon.com/images/I/41rFZR1MxNL._SX300_.jpg	2.571428571428572	Cell_Phones_and_Accessories
Can the battery be recharged while it is charging another device ?	It also seems to both charge and recharge quickly.	http://ecx.images-amazon.com/images/I/31qeCSut1aL._SY300_.jpg	2.142857142857143	Cell_Phones_and_Accessories
Can this phone be used with any provide?	I can use any provider I want, and that makes me happy due to the high prices of products reaching in pockets.	http://ecx.images-amazon.com/images/I/51HY6gSj38L._SY300_.jpg	2.8571428571428568	Cell_Phones_and_Accessories
Can you excess the web on this phon?	So I would say stay away from this phone Great phone for someone who just wants the basics.	http://ecx.images-amazon.com/images/I/314LHgcCEtL._SX300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
Can you get the app retric?	I have tried 3rd party apps and none will send a pic at all.	http://ecx.images-amazon.com/images/I/41w12PtSZUL._SY300_.jpg	1.8571428571428568	Cell_Phones_and_Accessories
Can you insert ipad with cover or we have to remove cover each time to insert ipad ?	Unlike other headrest mounts, this mount can grab all kinds of tablets such as ipad or galaxy tab.	http://ecx.images-amazon.com/images/I/515J3NQ645L._SY300_.jpg	1.7142857142857142	Cell_Phones_and_Accessories
Can you use this with tempered class on an iphone 5s ?	Can fit 3 cards but not much more without force.	http://ecx.images-amazon.com/images/I/31JGgbaDpNL._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Do anybody know if the adapter will work with an avaya 1140e ip deskphone . many thanks?	A10 Cable works great with plantronics corded quick connect office headset.	http://ecx.images-amazon.com/images/I/41sSDidoxTL._SY300_.jpg	1.7142857142857142	Cell_Phones_and_Accessories
Do you need a protoctor sheet on the fron?	I ABSOLUTLEY LOVE THIS COVER!	http://ecx.images-amazon.com/images/I/51Et2SOCAaL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Do you still have the black and pink case available ?	I also ordered a black and pink one for my wife that the paint came off in less than one week.	http://ecx.images-amazon.com/images/I/51XJ0FsoK4L._SX300_.jpg	1.8571428571428568	Cell_Phones_and_Accessories
Does it come with instructions ?	Droid RAZR MAXX HD outer glass is not replaceable, no instructions given.	http://ecx.images-amazon.com/images/I/41Fb2dRjl6L._SX300_.jpg	2.8571428571428568	Cell_Phones_and_Accessories
Does it come with the charger too ?	My old Moto Bionic car docks came with USB cables that had a headphone jack integrated into them and I plug that directly into my speakers for seamless charging/hookup.	http://ecx.images-amazon.com/images/I/51G3OWrTu0L._SX300_.jpg	1.0	Cell_Phones_and_Accessories
Does nexus 6 fit in this ?	this little tripod is PERFECT for my HTC one m8.	http://ecx.images-amazon.com/images/I/41nclme7ziL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Does the back glass plate have the apple logo ?	IT COMES WITH APPLE LOGO!From Hon Kong Orange Apple.	http://ecx.images-amazon.com/images/I/41uoJy%2B0i0L._SY300_.jpg	2.571428571428572	Cell_Phones_and_Accessories
Does the flex cable register touch . or just produce ligh?	The cable arrived very quickly.	http://ecx.images-amazon.com/images/I/41Y4Lwy%2B3oL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
